airline,origin,destination,dep_time,stops,duration,price,is_red_eye,seats_left
US,SMF,PHX,06:00,0,1.82,324,0,8
AA,SJC,DFW,06:00,0,3.53,256,0,19
AA,MIA,IAD,14:00,0,2.48,541,0,27
WN,PHX,EWR,06:00,0,4.67,573,0,17
DL,BWI,SLC,16:00,0,4.97,273,0,24
US,FLL,DCA,07:00,0,2.43,206,0,23
US,DCA,BOS,19:00,0,1.37,456,0,23
DL,JFK,MSP,11:00,0,3.25,125,0,27
OO,DEN,CPR,11:00,0,1.07,115,0,5
WN,BWI,RSW,20:00,0,2.67,136,0,22
EV,TUL,DEN,19:00,0,1.9,546,0,19
WN,SMF,ONT,17:00,0,1.25,225,0,9
EV,ORD,RIC,13:00,0,1.93,287,0,26
DL,BIL,MSP,06:00,0,2.15,209,0,19
WN,RSW,IND,15:00,0,2.67,386,0,14
OO,LAX,SAN,10:00,0,0.83,165,0,28
WN,OAK,PDX,08:00,0,1.67,230,0,16
OO,DEN,GCC,19:00,0,1.67,356,0,13
B6,ORD,JFK,18:00,0,2.13,161,0,21
HA,HNL,JFK,16:00,0,9.5,128,0,14
WN,MCO,BWI,16:00,0,2.08,326,0,19
WN,IND,DEN,20:00,0,2.92,402,0,9
DL,BOS,PBI,07:00,0,3.42,522,0,27
WN,STL,MDW,06:00,0,1.25,89,0,6
VX,SEA,LAX,09:00,0,2.5,537,0,16
DL,SLC,DTW,09:00,0,3.55,536,0,6
OO,SFO,SLC,20:00,0,1.72,258,0,5
WN,BDL,BWI,16:00,0,1.33,404,0,19
EV,ORD,MCI,10:00,0,1.62,580,0,6
WN,MDW,MCO,07:00,0,2.75,482,0,28
MQ,ORD,IND,16:00,0,0.97,472,0,25
WN,DAL,MAF,07:00,0,1.17,343,0,7
DL,STL,ATL,15:00,0,1.6,363,0,6
US,CLT,LAX,14:00,0,5.43,97,0,21
WN,BUF,MDW,07:00,0,2.17,314,0,6
B6,JFK,SYR,22:00,0,1.13,188,1,14
US,DFW,CLT,12:00,0,2.32,478,0,18
AS,SEA,ANC,08:00,0,3.92,408,0,14
AA,DFW,TPA,10:00,0,2.25,403,0,26
WN,SJC,LAS,12:00,0,1.33,194,0,20
DL,FLL,ATL,13:00,0,2.03,306,0,14
EV,AGS,ATL,15:00,0,0.97,125,0,20
EV,BDL,DTW,16:00,0,2.22,533,0,25
WN,SDF,TPA,13:00,0,2.08,281,0,5
WN,MAF,LAS,11:00,0,2.33,233,0,13
WN,MDW,CMH,07:00,0,1.17,294,0,9
MQ,DFW,FWA,08:00,0,2.13,350,0,10
EV,ATL,BTR,20:00,0,1.57,436,0,28
WN,AUS,SAN,11:00,0,3.17,581,0,23
US,PHX,BOS,09:00,0,4.92,576,0,8
WN,BUF,FLL,10:00,0,3.17,242,0,27
WN,BWI,CLT,08:00,0,1.58,165,0,8
DL,PSC,SLC,06:00,0,1.78,360,0,27
DL,BOS,LGA,21:00,0,1.37,146,1,29
WN,GEG,DEN,06:00,0,2.33,124,0,14
OO,AUS,SLC,08:00,0,3.08,189,0,28
OO,ICT,ORD,14:00,0,2.0,137,0,28
DL,JFK,SJU,18:00,0,3.93,304,0,23
US,RNO,PHX,19:00,0,1.68,498,0,20
DL,SEA,LAX,12:00,0,2.52,317,0,11
F9,TPA,ORD,18:00,0,2.83,518,0,10
UA,EWR,MIA,16:00,0,3.12,470,0,8
WN,SJC,BUR,13:00,0,1.0,247,0,11
OO,LNK,DEN,12:00,0,1.55,195,0,21
DL,PHX,JFK,13:00,0,4.62,266,0,27
EV,EWR,MEM,14:00,0,3.12,342,0,25
F9,RSW,CLE,10:00,0,2.67,365,0,12
UA,CLE,SJU,08:00,0,4.25,569,0,25
DL,ATL,PWM,20:00,0,2.42,170,0,7
WN,OAK,PHX,14:00,0,1.83,305,0,13
DL,PHX,SLC,14:00,0,1.58,505,0,21
OO,PSP,SFO,20:00,0,1.6,185,0,22
WN,LAX,SJC,12:00,0,1.08,301,0,26
UA,SFO,ORD,11:00,0,4.32,114,0,22
WN,LAS,OAK,06:00,0,1.5,387,0,16
B6,BWI,BOS,17:00,0,1.37,540,0,18
UA,ORD,PHX,12:00,0,3.92,121,0,16
US,SNA,PHX,19:00,0,1.25,330,0,20
WN,STL,PHX,13:00,0,3.5,148,0,17
WN,PHX,OKC,10:00,0,2.0,280,0,17
EV,ORD,LNK,17:00,0,1.63,467,0,24
EV,XNA,EWR,18:00,0,2.8,92,0,5
F9,DEN,SEA,17:00,0,2.88,484,0,29
AS,SEA,KTN,07:00,0,2.27,485,0,8
F9,ORD,ATL,07:00,0,1.83,402,0,17
EV,CLE,LGA,19:00,0,1.73,410,0,26
WN,STL,HOU,16:00,0,2.17,205,0,6
OO,OKC,SFO,07:00,0,3.87,510,0,8
MQ,BNA,LGA,08:00,0,2.13,532,0,27
AA,MIA,LGA,16:00,0,2.92,263,0,6
UA,SAN,IAH,12:00,0,3.15,306,0,25
EV,SAV,IAD,09:00,0,1.7,186,0,13
EV,MSP,BIS,21:00,0,1.5,442,1,16
UA,LAX,HNL,10:00,0,5.78,256,0,12
WN,FLL,ALB,11:00,0,3.08,314,0,5
AA,PSP,DFW,13:00,0,2.83,511,0,29
WN,SFO,ATL,13:00,0,4.5,110,0,9
UA,DEN,HNL,11:00,0,7.33,188,0,27
WN,IAD,SAN,17:00,0,5.58,353,0,10
UA,SFO,JFK,07:00,0,5.65,231,0,24
AA,SAN,DFW,13:00,0,2.92,517,0,27
B6,JFK,BUF,16:00,0,1.48,537,0,18
EV,DEN,RAP,15:00,0,1.23,218,0,24
UA,IAH,DEN,14:00,0,2.52,430,0,15
AA,ORD,PBI,10:00,0,2.85,592,0,11
OO,AZO,MSP,07:00,0,1.85,190,0,10
MQ,DFW,LAW,08:00,0,0.8,525,0,13
MQ,MSP,ORD,07:00,0,1.7,130,0,24
AA,DFW,DCA,10:00,0,2.67,395,0,20
US,EWR,CLT,06:00,0,2.12,208,0,22
UA,DEN,LAX,15:00,0,2.52,211,0,26
WN,ATL,TPA,08:00,0,1.5,139,0,22
EV,MFE,IAH,16:00,0,1.2,431,0,21
EV,DFW,BPT,09:00,0,1.08,588,0,26
AS,FAI,SEA,17:00,0,3.58,247,0,18
EV,SDF,ATL,19:00,0,1.43,311,0,14
AA,DEN,MIA,17:00,0,3.77,505,0,18
OO,MLI,DEN,08:00,0,2.48,508,0,7
DL,DAL,ATL,10:00,0,2.0,242,0,27
WN,ATL,TPA,15:00,0,1.5,321,0,10
DL,DTW,ATL,13:00,0,2.17,196,0,27
WN,LAX,STL,07:00,0,3.5,189,0,10
DL,ATL,PBI,22:00,0,1.78,470,1,24
MQ,TYS,DFW,19:00,0,2.55,373,0,20
UA,EWR,LAX,07:00,0,6.42,563,0,29
B6,SJU,MCO,19:00,0,3.08,197,0,23
DL,LGA,ATL,13:00,0,2.78,406,0,20
AA,MIA,LGA,14:00,0,2.88,535,0,9
DL,DTW,EWR,14:00,0,1.9,436,0,22
UA,MCO,IAH,11:00,0,2.72,416,0,10
WN,ATL,JAX,18:00,0,1.17,432,0,23
WN,MDW,HOU,15:00,0,2.83,349,0,14
EV,ORD,TUL,08:00,0,2.05,441,0,21
OO,SBP,LAX,18:00,0,1.08,403,0,11
B6,PBI,LGA,10:00,0,2.73,186,0,29
F9,DEN,DCA,11:00,0,3.15,239,0,10
B6,JFK,FLL,20:00,0,3.13,284,0,27
WN,BUR,OAK,21:00,0,1.17,562,1,20
WN,DEN,SFO,21:00,0,2.83,383,1,17
WN,HOU,TPA,10:00,0,1.92,265,0,14
US,SFO,PHX,17:00,0,2.03,359,0,14
US,DCA,CLT,06:00,0,1.48,108,0,5
WN,LAX,LAS,18:00,0,1.0,510,0,28
WN,OAK,LAX,13:00,0,1.25,267,0,14
MQ,ORD,LIT,12:00,0,1.82,563,0,25
EV,BHM,DEN,12:00,0,3.25,420,0,20
EV,ATL,ALB,14:00,0,2.18,287,0,24
DL,LGA,PBI,18:00,0,3.42,399,0,12
US,CMH,PHX,07:00,0,4.57,166,0,24
US,CLT,TPA,13:00,0,1.65,482,0,22
NK,OAK,DFW,19:00,0,3.28,377,0,16
UA,MCO,IAH,11:00,0,2.72,471,0,13
DL,SAN,SLC,06:00,0,1.97,361,0,8
AA,LAS,DFW,17:00,0,2.5,294,0,17
WN,SFO,SAN,13:00,0,1.58,469,0,28
MQ,LGA,XNA,06:00,0,3.48,155,0,20
DL,DTW,ORD,08:00,0,1.63,561,0,18
DL,DTW,BDL,17:00,0,1.75,432,0,17
DL,DTW,MKE,15:00,0,1.45,579,0,19
B6,BUR,JFK,21:00,0,5.12,111,1,10
US,CLT,SFO,14:00,0,5.83,583,0,11
AA,MCO,LAX,20:00,0,5.58,313,0,16
EV,IAH,HSV,20:00,0,1.68,194,0,14
DL,MCO,DTW,06:00,0,2.63,328,0,25
EV,ATL,DAL,09:00,0,2.37,304,0,27
DL,ATL,EVV,21:00,0,1.37,377,1,28
B6,HPN,PBI,18:00,0,2.9,95,0,15
DL,BUF,ATL,06:00,0,2.6,361,0,27
US,PBI,CLT,08:00,0,1.9,304,0,26
WN,OAK,LAS,14:00,0,1.42,446,0,24
DL,LGA,BOS,12:00,0,1.15,445,0,14
US,CLT,MCI,19:00,0,2.57,514,0,24
UA,SFO,DEN,08:00,0,2.57,194,0,22
US,PHX,JFK,13:00,0,4.67,500,0,20
WN,CMH,MCO,06:00,0,2.5,262,0,29
DL,PHL,ATL,18:00,0,2.65,371,0,13
UA,OGG,SFO,13:00,0,4.97,192,0,21
EV,DFW,MHK,15:00,0,1.37,219,0,5
OO,SFO,BUR,20:00,0,1.23,388,0,23
MQ,PNS,DFW,17:00,0,2.08,503,0,27
AA,MIA,TPA,07:00,0,1.07,191,0,22
AA,ORD,MCO,19:00,0,2.53,472,0,13
EV,DFW,GRK,17:00,0,0.75,557,0,26
UA,IAH,SFO,21:00,0,4.45,189,1,29
DL,SLC,LAX,15:00,0,2.0,482,0,27
US,SAT,CLT,08:00,0,2.65,119,0,9
AS,SEA,SJC,18:00,0,2.02,517,0,19
US,MIA,PHL,21:00,0,2.78,319,1,10
DL,ATL,CLT,13:00,0,1.17,222,0,12
WN,ELP,DAL,17:00,0,1.58,199,0,28
WN,BWI,ALB,19:00,0,1.25,371,0,15
WN,MSY,STL,18:00,0,1.75,227,0,6
DL,CVG,BOS,16:00,0,2.02,222,0,19
DL,MSY,LGA,06:00,0,2.78,226,0,26
WN,RSW,ATL,18:00,0,1.83,472,0,13
UA,TPA,DEN,08:00,0,4.05,141,0,19
WN,BWI,DEN,19:00,0,4.25,537,0,5
OO,GEG,SEA,13:00,0,1.05,385,0,23
UA,ORD,IAH,18:00,0,2.92,98,0,7
WN,MDW,MCO,12:00,0,2.58,436,0,8
OO,MSP,HIB,11:00,0,1.03,145,0,11
MQ,XNA,ORD,17:00,0,1.83,160,0,22
DL,AGS,ATL,07:00,0,1.05,549,0,26
WN,ISP,MCO,18:00,0,2.92,540,0,5
MQ,ORD,XNA,18:00,0,1.72,439,0,20
WN,BWI,LAS,10:00,0,5.5,540,0,26
WN,SJC,SNA,13:00,0,1.25,176,0,7
WN,CMH,BNA,07:00,0,1.5,382,0,11
B6,PBI,DCA,11:00,0,2.25,308,0,13
WN,OKC,MDW,07:00,0,2.08,205,0,8
MQ,CLL,DFW,06:00,0,0.95,415,0,29
WN,MDW,LAX,19:00,0,4.58,110,0,18
AA,SFO,LAX,12:00,0,1.33,567,0,11
MQ,ATL,ORD,13:00,0,2.13,408,0,25
WN,LAX,SLC,20:00,0,1.67,196,0,26
UA,ORD,SAN,08:00,0,4.45,285,0,14
B6,SJU,BDL,04:00,0,4.02,573,1,22
MQ,DFW,MKE,11:00,0,2.22,292,0,20
OO,PAH,ORD,15:00,0,1.62,381,0,21
EV,ORD,TYS,14:00,0,1.57,434,0,22
DL,JFK,PHX,08:00,0,5.8,356,0,16
WN,ABQ,LAS,15:00,0,1.58,342,0,28
AS,SJC,SEA,17:00,0,2.03,525,0,5
DL,PHX,MSP,09:00,0,3.28,519,0,14
AS,SNA,PDX,14:00,0,2.45,531,0,18
B6,BOS,RIC,19:00,0,1.82,523,0,26
B6,BUF,JFK,18:00,0,1.53,225,0,25
AA,ORD,DCA,20:00,0,1.67,195,0,16
B6,JFK,SFO,07:00,0,6.7,524,0,24
EV,IAH,MKE,17:00,0,2.63,157,0,9
AS,SEA,SAN,13:00,0,2.63,522,0,5
UA,DEN,TPA,10:00,0,3.37,404,0,19
OO,SFO,SBP,16:00,0,1.12,394,0,22
WN,RNO,SAN,14:00,0,1.42,318,0,12
WN,MCO,HOU,19:00,0,2.58,107,0,22
WN,MCO,STL,08:00,0,2.5,366,0,13
DL,ATL,COS,18:00,0,3.32,335,0,13
US,CLT,MCO,14:00,0,1.65,400,0,7
EV,DIK,DEN,12:00,0,1.75,541,0,14
MQ,ORD,XNA,19:00,0,1.65,367,0,6
US,CLT,PIT,08:00,0,1.47,267,0,22
EV,JAN,IAH,06:00,0,1.52,143,0,8
WN,SNA,SJC,20:00,0,1.25,469,0,24
UA,DEN,GRR,17:00,0,2.43,378,0,16
AA,JFK,MIA,14:00,0,3.28,475,0,18
AS,SFO,SEA,10:00,0,2.03,129,0,6
OO,SLC,SJC,20:00,0,2.03,252,0,19
WN,PHX,PDX,20:00,0,2.83,466,0,28
OO,PHX,MRY,14:00,0,1.9,571,0,7
WN,ONT,DEN,06:00,0,2.33,527,0,27
OO,MKE,ORD,11:00,0,0.83,429,0,14
MQ,LGA,CMH,14:00,0,1.88,321,0,14
US,AUS,PHL,10:00,0,3.18,105,0,12
OO,SAT,SFO,15:00,0,4.0,99,0,9
MQ,CMI,ORD,08:00,0,1.08,592,0,6
MQ,JAN,DFW,14:00,0,1.62,347,0,27
HA,OGG,HNL,14:00,0,0.62,440,0,19
NK,ORD,DEN,11:00,0,2.7,187,0,20
WN,LAS,MDW,06:00,0,3.5,303,0,24
EV,AEX,ATL,11:00,0,1.58,538,0,26
WN,MSY,ATL,12:00,0,1.42,483,0,27
EV,ORD,PVD,19:00,0,2.2,358,0,15
UA,DCA,ORD,16:00,0,2.2,288,0,10
OO,XNA,MSP,11:00,0,1.9,105,0,20
WN,SAT,HOU,19:00,0,0.83,345,0,8
UA,LAS,SFO,09:00,0,1.73,175,0,18
US,DCA,BOS,13:00,0,1.37,129,0,21
OO,OKC,LAX,16:00,0,3.35,409,0,21
EV,FSD,DEN,09:00,0,1.9,464,0,28
DL,CLT,DTW,12:00,0,1.82,419,0,23
AA,LAX,JFK,12:00,0,5.6,433,0,10
WN,IND,LAS,17:00,0,4.33,168,0,10
WN,SMF,ONT,21:00,0,1.25,346,1,14
AA,MIA,LAS,07:00,0,5.47,543,0,21
DL,SMF,SLC,06:00,0,1.65,259,0,16
DL,IAD,ATL,16:00,0,1.83,145,0,13
EV,CLE,MKE,14:00,0,1.42,214,0,20
WN,SJC,SNA,19:00,0,1.25,200,0,18
EV,RDU,DTW,09:00,0,1.87,237,0,19
AA,LAX,AUS,14:00,0,2.83,355,0,12
EV,IAH,MAF,21:00,0,1.52,261,1,15
DL,ATL,OMA,15:00,0,2.55,596,0,14
DL,SLC,SAN,13:00,0,1.83,502,0,19
EV,IAH,MSP,15:00,0,2.83,227,0,25
WN,BNA,RSW,09:00,0,2.0,189,0,12
MQ,DFW,AMA,14:00,0,1.17,392,0,29
WN,BWI,SJU,13:00,0,4.0,104,0,12
OO,SBP,LAX,21:00,0,1.15,362,1,16
EV,IAH,MAF,17:00,0,1.5,468,0,9
UA,OGG,SFO,22:00,0,4.78,143,1,9
MQ,DFW,LBB,15:00,0,1.05,443,0,24
WN,BNA,SAT,19:00,0,2.5,396,0,12
MQ,DFW,FWA,19:00,0,2.17,100,0,26
DL,PBI,ATL,17:00,0,1.9,423,0,24
MQ,CMH,ORD,19:00,0,1.33,326,0,26
WN,ATL,MCO,08:00,0,1.5,524,0,14
B6,MCO,BDL,17:00,0,2.6,283,0,10
US,CLT,DTW,22:00,0,1.63,255,1,13
F9,MSY,DEN,12:00,0,2.92,588,0,28
EV,DEN,MTJ,19:00,0,0.97,416,0,15
WN,HOU,BWI,21:00,0,2.75,565,1,9
NK,FLL,DFW,20:00,0,3.17,355,0,20
DL,PIT,ATL,06:00,0,2.15,233,0,14
DL,SJU,JFK,20:00,0,4.05,512,0,22
DL,PBI,ATL,16:00,0,1.83,417,0,7
VX,EWR,SFO,10:00,0,6.58,465,0,27
OO,SGF,ORD,13:00,0,1.67,338,0,15
US,PHL,TPA,20:00,0,2.68,538,0,9
EV,EWR,GSO,13:00,0,1.72,247,0,20
DL,ATL,MCI,10:00,0,2.28,466,0,17
DL,RSW,ATL,13:00,0,1.82,457,0,26
OO,LAX,PHX,16:00,0,1.4,369,0,26
HA,HNL,KOA,05:00,0,0.7,173,1,25
UA,PHX,SFO,08:00,0,2.22,265,0,8
US,BWI,PHX,06:00,0,5.38,235,0,26
B6,BOS,BWI,18:00,0,1.6,370,0,12
MQ,ORD,BNA,08:00,0,1.47,225,0,26
AA,MIA,JFK,13:00,0,2.9,145,0,6
WN,DAL,BHM,19:00,0,1.5,158,0,6
WN,PIT,TPA,16:00,0,2.42,138,0,10
WN,ICT,MDW,06:00,0,1.83,160,0,19
OO,CLD,LAX,13:00,0,0.72,525,0,20
WN,MCI,LAS,13:00,0,3.25,112,0,16
OO,DEN,ABQ,14:00,0,1.33,310,0,25
F9,IAD,RSW,06:00,0,2.83,377,0,18
MQ,DFW,SGF,09:00,0,1.23,411,0,6
EV,GRR,MSP,10:00,0,1.72,403,0,12
UA,CLE,LAX,18:00,0,5.33,462,0,5
AA,DFW,SMF,17:00,0,3.88,261,0,20
MQ,CVG,DFW,19:00,0,2.67,299,0,18
DL,SLC,ATL,07:00,0,3.67,309,0,11
AA,ORD,DFW,08:00,0,2.62,561,0,21
US,PHL,CLT,21:00,0,1.78,155,1,24
OO,SMF,SLC,10:00,0,1.63,556,0,19
US,PHX,SEA,21:00,0,3.12,185,1,22
OO,SAT,LAX,07:00,0,3.38,246,0,9
WN,OAK,LAS,10:00,0,1.42,383,0,5
EV,CAK,ORD,10:00,0,1.62,396,0,23
DL,PBI,ATL,13:00,0,1.92,412,0,21
WN,SAN,SEA,18:00,0,2.92,413,0,21
AS,SEA,BUR,07:00,0,2.3,237,0,13
AA,ORD,DCA,08:00,0,1.73,392,0,27
DL,ATL,RSW,17:00,0,1.72,422,0,19
MQ,LGA,RDU,15:00,0,1.8,159,0,10
WN,MCO,HOU,11:00,0,2.58,434,0,27
US,CLT,BWI,13:00,0,1.37,454,0,17
WN,TPA,DEN,17:00,0,4.08,510,0,23
OO,ATL,IAH,06:00,0,2.27,499,0,7
DL,DTW,SLC,19:00,0,4.03,123,0,6
OO,SMF,LAX,09:00,0,1.52,553,0,9
US,DCA,FLL,14:00,0,2.62,569,0,7
US,SFO,PHX,15:00,0,1.92,218,0,29
B6,PIT,BOS,09:00,0,1.53,271,0,29
DL,SLC,SEA,08:00,0,2.37,508,0,28
NK,ORD,IAH,20:00,0,2.78,227,0,23
WN,HOU,MSY,10:00,0,1.08,280,0,20
DL,LAS,DTW,14:00,0,3.88,447,0,28
UA,IAH,LGA,16:00,0,3.48,121,0,6
WN,PHX,OMA,20:00,0,2.5,216,0,7
EV,IAD,ATL,08:00,0,2.03,557,0,11
UA,MCO,IAD,19:00,0,2.17,421,0,28
NK,BWI,DFW,10:00,0,3.57,374,0,24
OO,LAX,SAF,10:00,0,1.92,488,0,8
EV,ORD,CWA,13:00,0,1.03,457,0,10
DL,MCO,ATL,15:00,0,1.58,270,0,20
WN,OAK,ONT,16:00,0,1.17,484,0,22
B6,BOS,CHS,10:00,0,2.6,450,0,26
WN,SMF,SAN,14:00,0,1.42,489,0,23
US,CLT,IAH,07:00,0,2.78,391,0,12
WN,BWI,OKC,14:00,0,3.42,280,0,10
WN,LAS,SJC,08:00,0,1.42,529,0,19
DL,ATL,ORD,16:00,0,2.05,584,0,8
DL,JFK,MCO,11:00,0,2.97,140,0,21
DL,DTW,DEN,08:00,0,3.47,426,0,10
WN,HOU,MSY,09:00,0,1.08,196,0,17
WN,DCA,MDW,06:00,0,2.25,145,0,15
WN,SMF,SNA,15:00,0,1.33,159,0,23
OO,SLC,LAX,07:00,0,2.18,469,0,20
EV,LCH,IAH,14:00,0,0.83,359,0,11
OO,ONT,SFO,18:00,0,1.4,184,0,15
WN,PHL,MDW,06:00,0,2.42,246,0,25
EV,DFW,LFT,14:00,0,1.23,503,0,21
US,PHX,DTW,16:00,0,3.7,484,0,6
US,DFW,PHL,08:00,0,2.98,122,0,16
WN,DAL,SNA,10:00,0,3.25,285,0,22
AA,LAX,JFK,13:00,0,5.42,176,0,29
MQ,GRR,ORD,17:00,0,1.33,156,0,17
OO,MKE,ORD,16:00,0,0.88,351,0,23
AA,MIA,DFW,06:00,0,3.33,542,0,27
EV,LGA,RDU,08:00,0,2.0,253,0,13
DL,MIA,ATL,12:00,0,2.03,120,0,6
AA,PHL,CLT,10:00,0,2.08,450,0,11
DL,SRQ,ATL,11:00,0,1.62,524,0,18
WN,BDL,ATL,05:00,0,2.92,401,1,26
B6,DCA,TPA,19:00,0,2.45,533,0,18
MQ,CMI,ORD,18:00,0,1.0,432,0,7
UA,SFO,JFK,15:00,0,5.43,484,0,25
B6,MCO,EWR,05:00,0,2.48,316,1,17
OO,SLC,SFO,19:00,0,2.18,393,0,14
MQ,ABI,DFW,17:00,0,0.82,205,0,9
WN,PHX,SMF,11:00,0,2.08,155,0,13
EV,RIC,DTW,09:00,0,1.98,162,0,22
US,CLT,DFW,13:00,0,2.92,412,0,25
F9,DEN,CLE,08:00,0,2.78,157,0,20
DL,LGA,MCO,16:00,0,3.28,592,0,20
WN,LAS,SJC,16:00,0,1.42,544,0,5
WN,AUS,HOU,09:00,0,0.83,190,0,21
AA,FLL,ORD,10:00,0,3.33,380,0,6
WN,DAL,HOU,20:00,0,1.08,302,0,22
AA,MIA,SJU,09:00,0,2.6,487,0,18
DL,DTW,BWI,07:00,0,1.88,429,0,21
OO,DEN,FCA,19:00,0,2.4,100,0,28
EV,IAD,PIT,12:00,0,1.03,372,0,21
WN,SNA,SFO,18:00,0,1.42,153,0,6
OO,GJT,SLC,06:00,0,1.2,239,0,24
WN,SMF,PHX,12:00,0,1.75,147,0,20
MQ,GRR,ORD,11:00,0,0.97,180,0,5
VX,DAL,DCA,14:00,0,2.75,346,0,18
WN,MDW,PIT,08:00,0,1.33,445,0,7
B6,SFO,FLL,22:00,0,5.28,135,1,11
OO,ACV,SFO,08:00,0,1.45,561,0,6
DL,ATL,LAS,11:00,0,4.72,133,0,21
WN,BOI,PHX,12:00,0,2.0,580,0,27
WN,LAX,ELP,12:00,0,1.83,466,0,20
WN,BOS,BNA,12:00,0,3.08,268,0,22
WN,MDW,STL,18:00,0,1.17,419,0,18
WN,SEA,ABQ,11:00,0,2.75,454,0,27
WN,PIT,LAS,07:00,0,5.17,152,0,8
DL,ATL,ORF,15:00,0,1.57,595,0,15
WN,DEN,RNO,14:00,0,2.42,459,0,20
DL,MSP,FAR,21:00,0,1.27,410,1,17
MQ,ORD,DSM,06:00,0,1.33,416,0,18
B6,FLL,EWR,09:00,0,2.82,589,0,6
EV,ILM,ATL,13:00,0,1.52,301,0,29
F9,LAX,DEN,10:00,0,2.33,538,0,11
WN,PHX,DTW,16:00,0,3.67,145,0,27
WN,ATL,PBI,18:00,0,1.92,597,0,25
UA,ORD,ATL,11:00,0,1.98,414,0,18
DL,LAS,ATL,23:00,0,3.68,166,1,8
UA,SJC,DEN,07:00,0,2.5,210,0,28
EV,PHF,ATL,15:00,0,1.92,592,0,23
MQ,DFW,MAF,07:00,0,1.13,560,0,28
AS,SEA,SFO,06:00,0,2.08,343,0,23
WN,DAL,MSY,06:00,0,1.25,250,0,9
EV,SHV,ATL,15:00,0,1.58,485,0,19
UA,ORD,DEN,17:00,0,2.65,413,0,17
OO,PSC,DEN,06:00,0,2.37,386,0,27
WN,MCI,MDW,19:00,0,1.42,98,0,5
EV,IAH,BHM,21:00,0,1.53,222,1,21
DL,FLL,LGA,08:00,0,2.85,383,0,20
EV,SDF,ORD,08:00,0,1.75,180,0,16
WN,SMF,LAS,17:00,0,1.33,234,0,11
EV,EWR,BOS,16:00,0,1.23,222,0,27
DL,PHL,MSP,08:00,0,3.1,103,0,14
B6,LAS,LGB,11:00,0,1.12,346,0,18
WN,BNA,MDW,17:00,0,1.58,453,0,15
MQ,JFK,RDU,14:00,0,1.8,573,0,8
WN,CLE,MDW,11:00,0,1.42,114,0,10
DL,DTW,PHL,07:00,0,1.92,165,0,20
WN,PDX,SMF,13:00,0,1.42,571,0,9
UA,PDX,SFO,07:00,0,1.9,594,0,24
DL,MSP,IND,13:00,0,1.72,142,0,23
AS,KTN,WRG,09:00,0,0.82,139,0,22
US,PHX,LAS,14:00,0,1.15,525,0,7
DL,ATL,PNS,22:00,0,1.25,398,1,16
DL,SLC,ATL,14:00,0,3.62,279,0,7
OO,MKE,ORD,17:00,0,0.88,129,0,26
MQ,ORF,JFK,13:00,0,1.42,538,0,6
VX,LAX,IAD,08:00,0,4.75,489,0,9
VX,LAX,SFO,07:00,0,1.33,219,0,10
DL,DFW,ATL,14:00,0,2.02,310,0,16
US,PHX,SFO,08:00,0,2.12,398,0,29
UA,HNL,ORD,16:00,0,8.22,285,0,27
UA,SFO,SAN,12:00,0,1.55,373,0,25
UA,LAS,LAX,13:00,0,1.27,471,0,18
OO,TUS,LAX,18:00,0,1.6,293,0,6
WN,BWI,ISP,10:00,0,1.0,180,0,21
OO,DEN,SLC,18:00,0,1.52,232,0,8
MQ,ELP,ORD,13:00,0,2.9,352,0,13
DL,FLL,MSP,13:00,0,3.95,412,0,20
UA,IAD,TPA,08:00,0,2.47,590,0,8
MQ,ORD,MEM,08:00,0,1.68,324,0,16
OO,COS,ORD,06:00,0,2.58,235,0,12
EV,ATL,GSO,12:00,0,1.22,591,0,27
AA,DFW,CMH,12:00,0,2.33,205,0,27
UA,IAH,SAN,20:00,0,3.52,306,0,18
WN,SLC,LAX,12:00,0,1.92,311,0,11
OO,SFO,PSP,16:00,0,1.43,148,0,8
MQ,CVG,ORD,15:00,0,1.45,382,0,9
WN,PHX,IND,17:00,0,3.25,99,0,24
WN,BWI,BOS,14:00,0,1.42,522,0,18
WN,CHS,BWI,08:00,0,1.58,467,0,13
OO,PHX,SEA,17:00,0,3.13,481,0,22
HA,HNL,LAS,22:00,0,5.67,442,1,25
AA,TUL,DFW,06:00,0,1.25,271,0,23
EV,RST,MSP,15:00,0,0.9,483,0,17
AA,DFW,ORD,15:00,0,2.33,157,0,6
HA,HNL,KOA,10:00,0,0.73,360,0,6
EV,MSP,MDW,07:00,0,1.77,489,0,12
DL,SLC,DCA,09:00,0,4.07,344,0,28
UA,IAH,IAD,15:00,0,2.98,505,0,16
OO,PSP,SFO,08:00,0,1.6,96,0,5
DL,DTW,RSW,10:00,0,3.28,551,0,19
EV,ATL,OMA,15:00,0,2.6,424,0,26
WN,LAX,MCI,10:00,0,3.17,431,0,22
MQ,ORD,GRR,07:00,0,0.75,594,0,18
WN,MDW,ORF,13:00,0,2.0,312,0,9
DL,ATL,LGA,09:00,0,2.25,271,0,14
UA,LGA,ORD,09:00,0,2.8,94,0,14
WN,MDW,MCO,10:00,0,2.58,442,0,7
UA,SEA,DEN,05:00,0,2.62,366,1,18
UA,IAD,SJU,21:00,0,3.73,126,1,25
WN,DAL,LAX,06:00,0,3.5,267,0,22
B6,JFK,BOS,06:00,0,1.18,421,0,12
DL,JFK,MSP,16:00,0,3.43,220,0,27
HA,HNL,LIH,12:00,0,0.65,151,0,29
B6,MCO,EWR,05:00,0,2.48,202,1,23
